day,month,year,hour,VALOR_LECTURA,holiday
1,1,2021,0,0.0,True
1,1,2021,1,0.0,True
1,1,2021,2,0.0,True
1,1,2021,3,0.0,True
1,1,2021,4,0.0,True
1,1,2021,5,0.0,True
1,1,2021,6,0.0,True
1,1,2021,7,0.0,True
1,1,2021,8,0.0,True
1,1,2021,9,0.0,True
1,1,2021,10,0.1,True
1,1,2021,11,0.0,True
1,1,2021,12,0.0,True
1,1,2021,13,0.0,True
1,1,2021,14,0.0,True
1,1,2021,15,0.0,True
1,1,2021,16,0.0,True
1,1,2021,17,0.0,True
1,1,2021,18,0.0,True
1,1,2021,19,0.0,True
1,1,2021,20,0.0,True
1,1,2021,21,0.0,True
1,1,2021,22,0.0,True
1,1,2021,23,0.0,True
2,1,2021,0,0.1,False
2,1,2021,1,0.0,False
2,1,2021,2,0.0,False
2,1,2021,3,0.0,False
2,1,2021,4,0.0,False
2,1,2021,5,0.0,False
2,1,2021,6,0.0,False
2,1,2021,7,0.0,False
2,1,2021,8,0.0,False
2,1,2021,9,0.0,False
2,1,2021,10,0.0,False
2,1,2021,11,0.0,False
2,1,2021,12,0.0,False
2,1,2021,13,0.0,False
2,1,2021,14,0.0,False
2,1,2021,15,0.0,False
2,1,2021,16,0.0,False
2,1,2021,17,0.0,False
2,1,2021,18,0.0,False
2,1,2021,19,0.0,False
2,1,2021,20,0.0,False
2,1,2021,21,0.0,False
2,1,2021,22,0.0,False
2,1,2021,23,0.0,False
3,1,2021,0,0.0,False
3,1,2021,1,0.0,False
3,1,2021,2,0.0,False
3,1,2021,3,0.0,False
3,1,2021,4,0.0,False
3,1,2021,5,0.0,False
3,1,2021,6,0.0,False
3,1,2021,7,0.0,False
3,1,2021,8,0.0,False
3,1,2021,9,0.0,False
3,1,2021,10,0.0,False
3,1,2021,11,0.0,False
3,1,2021,12,0.0,False
3,1,2021,13,0.0,False
3,1,2021,14,0.0,False
3,1,2021,15,0.0,False
3,1,2021,16,0.0,False
3,1,2021,17,0.0,False
3,1,2021,18,0.0,False
3,1,2021,19,0.0,False
3,1,2021,20,0.0,False
3,1,2021,21,0.0,False
3,1,2021,22,0.0,False
3,1,2021,23,0.0,False
4,1,2021,0,0.0,False
4,1,2021,1,0.0,False
4,1,2021,2,0.0,False
4,1,2021,3,0.0,False
4,1,2021,4,0.0,False
4,1,2021,5,0.0,False
4,1,2021,6,0.0,False
4,1,2021,7,0.0,False
4,1,2021,8,0.0,False
4,1,2021,9,0.0,False
4,1,2021,10,0.0,False
4,1,2021,11,0.0,False
4,1,2021,12,0.0,False
4,1,2021,13,0.0,False
4,1,2021,14,0.0,False
4,1,2021,15,0.0,False
4,1,2021,16,0.0,False
4,1,2021,17,0.0,False
4,1,2021,18,0.0,False
4,1,2021,19,0.0,False
4,1,2021,20,0.0,False
4,1,2021,21,0.0,False
4,1,2021,22,0.0,False
4,1,2021,23,0.0,False
5,1,2021,0,0.0,False
5,1,2021,1,0.0,False
5,1,2021,2,0.0,False
5,1,2021,3,6.25,False
5,1,2021,4,3.5999999999999996,False
